num,name,region,district,desc,url_about,url_tg,url_money
39,БОРОНИНА ИЯ ЮРЬЕВНА,Удмуртская Республика,Ижевский одномандатный избирательный округ,"41 год, юрист, председатель Удмуртского «Яблока», член ассоциации юристов России, эксперт по антикоррупционной экспертизе нормативных актов.",,,
41,ИБРАГИМОВ РИЗВАН ЮСУПОВИЧ,Чеченская Республика,Чеченский одномандатный избирательный округ,"66 лет, учитель, заслуженный работник культуры, председатель Чеченского «Яблока».",,,
42,СТЕНЬШИН ВИКТОР ВАСИЛЬЕВИЧ,Чувашская Республика (Чувашия),Канашский одномандатный избирательный округ,"50 лет, кандидат сельскохозяйственных наук, специалист отдела материально-технического обеспечения ООО «Автобан-Мост», член Бюро Чувашского «Яблока».",,,
43,АРКАДЬЕВ ВЛАДИСЛАВ ИВАНОВИЧ,Чувашская Республика (Чувашия),Чебоксарский одномандатный избирательный округ,"69 лет, юрист, председатель общественной организации «Общее дело», председатель ТСЖ «Звездочка», председатель Чувашского «Яблока».",,,
44,РЕКА АРТЁМ АЛЕКСАНДРОВИЧ,Алтайский край,Барнаульский одномандатный избирательный округ,"38 лет, историк, член партии.",,,
45,КАЛАШНИК ПАВЕЛ ВАДИМОВИЧ,Алтайский край,Бийский одномандатный избирательный округ,"22 года, гражданский активист, член партии.",,,
46,ТКАЧЕНКО АНДРЕЙ СЕРГЕЕВИЧ,Алтайский край,Славгородский одномандатный избирательный округ,"39 лет, контрактный управляющий Спортивной школы олимпийского резерва, председатель Алтайского «Яблока».",,,
47,ЖДАНОВ АЛЕКСАНДР ВАЛЕРЬЕВИЧ,Забайкальский край,Забайкальский одномандатный избирательный округ,"56 лет, сотрудник Забайкальской общественной региональной организации «Забайкальская ассоциация потребителей».",,,
49,БЕСЛЕНЕЙ АХМЕД ШАМИЛЕВИЧ,Краснодарский край,Центральный одномандатный избирательный округ,"46 лет, председатель МОО по защите прав граждан «Правовое государство», главный редактор СМИ «Правовая Россия РФ».",,,
54,АТАМАНЧУК ВЛАДИМИР ЛЕОНИДОВИЧ,Краснодарский край,Южный одномандатный избирательный округ,"75 лет, врач-педиатр.",,,
62,ПОНОМАРЕВ КОНСТАНТИН ЭДУАРДОВИЧ,Пермский край,Пермский одномандатный округ,"56 лет, инструктор Пермского «Яблока», член партии.",,,
63,ЕРМАКОВ ЕГОР СЕРГЕЕВИЧ,Пермский край,Чусовский одномандатный округ,"21 год, студент, член партии.",,https://t.me/ermakov656,
64,ВШИВКОВА ОЛЬГА ВИТАЛЬЕВНА,Пермский край,Кунгурский одномандатный округ,"54 года, депутат Думы Кунгурского муниципального округа Пермского края, член Регионального совета Пермского «Яблока.",,,
65,КОЛОКОЛОВА ОЛЬГА АРКАДЬЕВНА,Пермский край,Кудымкарский одномандатный округ,"53 года, предприниматель, председатель Пермского «Яблока», член Федерального Бюро «Яблока».",http://www.yabloko.ru/content/kolokolova_olga_arkadevna_1,,
69,ЗУБЕНКО ВИТАЛИЙ ГРИГОРЬЕВИЧ,Ставропольский край,Ставропольский одномандатный избирательный округ,"53 года, адвокат Ставропольской краевой коллегии адвокатов, заместитель председателя Ставропольского «Яблока»",,,
70,ЧЕРЕДНИЧЕНКО АНАТОЛИЙ АЛЕКСАНДРОВИЧ,Ставропольский край,Невинномысский одномандатный избирательный округ,"30 лет, главный программист ООО «ЧАТАПП», член партии.",,,
71,ЗАХАРЕНКОВ АРТЕМИЙ ВИКТОРОВИЧ,Ставропольский край,Кавминводский одномандатный избирательный округ,"64 года, гражданский активист, заместитель председателя Ставропольского «Яблока».",,,
72,БЕРШАК МАКСИМ АНДРЕЕВИЧ,Ставропольский край,Георгиевский одномандатный избирательный округ,"36 лет, гражданский активист.",,,
74,ЕРМАКОВ АНТОН АРКАДЬЕВИЧ,Хабаровский край,Комсомольский одномандатный избирательный округ,"48 лет, журналист.",,,
76,ЛАПТЕВ ВАДИМ ГЕННАДЬЕВИЧ,Архангельская область,Архангельский одномандатный избирательный округ,"50 лет, начальник отдела судовых механизмов и систем северодвинской компании «XC морское проектирование», заместитель председателя Архангельского «Яблока».",,,
77,ПИСКУНОВ МАКСИМ ВЛАДИМИРОВИЧ,Архангельская область,Котласский одномандатный избирательный округ,"40 лет, инженер отдела проектирования компании «МОСТСЕРВИС», член Бюро Архангельского «Яблока».",,,
79,КОСТЮКОВ ИЛЬЯ РОМАНОВИЧ,Белгородская область,Белгородский одномандатный избирательный округ,"23 года, индивидуальный предприниматель, член партии.",,,
84,ФИРСОВ АЛЕКСЕЙ АЛЕКСАНДРОВИЧ,Владимирская область,Суздальский одномандатный избирательный округ,"51 год, заместитель директора по безопасности спортивной школы, член федерального Бюро партии, член Бюро Владимирского «Яблока».",,,
88,ЕГОРОВ НИКОЛАЙ АЛЕКСАНДРОВИЧ,Вологодская область,Вологодский одномандатный избирательный округ,"60 лет, директор ООО «Солярис», председатель Вологодского «Яблока».",,,
89,НИКОЛАЕВ ВЛАДИМИР ВАЛЕРЬЕВИЧ,Вологодская область,Череповецкий одномандатный избирательный округ,"56 лет, заместитель председателя Вологодского «Яблока», гражданский активист.",,,
95,ХАРИТОНЕНКО ПАВЕЛ ВЛАДИМИРОВИЧ,Иркутская область,Иркутский одномандатный избирательный округ,"40 лет, гражданский активист.",,,
96,ПОНОМАРЕНКО ДМИТРИЙ НИКОЛАЕВИЧ,Иркутская область,Ангарский одномандатный избирательный округ,"47 лет, юрист-правозащитник.",,,
97,МЕХОНОШИН ПЕТР АЛЕКСЕЕВИЧ,Иркутская область,Шелеховский одномандатный избирательный округ,"54 года, гражданский активист.",,,
99,ГЕНДРИКСОН АНТОН ВАЛЕНТИНОВИЧ,Калининградская область,Калининградский одномандатный избирательный округ,"48 лет, индивидуальный предприниматель.",,,
100,МОРОЗОВ РОМАН ВЛАДИМИРОВИЧ,Калининградская область,Центральной одномандатный избирательный округ,"50 лет, член Бюро Калининградского «Яблока», адвокат Адвокатской палаты Калининградской области.",,,
102,СМОЛЬНИКОВ ЕВГЕНИЙ ЭДУАРДОВИЧ,Кемеровская область,Кемеровский одномандатный избирательный округ,"43 года, член Контрольно-ревизионной комиссии Кемеровского «Яблока», слесарь по обслуживанию тепловых сетей ООО ПО «ТОКЕМ», член Контрольно-ревизионной комиссии Кемеровского «Яблока».",,,
103,АЛЬШЕВИЧ ГЛЕБ СЕРГЕЕВИЧ,Кемеровская область,Прокопьевский одномандатный избирательный округ,"23 года, член Бюро Кемеровского «Яблока», самозанятый.",,,
105,КАЛИНОГОРСКИЙ НИКОЛАЙ АЛЕКСЕЕВИЧ,Кемеровская область,Новокузнецкий одномандатный избирательный округ,"74 года, председатель правления СНТ «Проектировщик».",,,
108,ТАРАСОВ АНДРЕЙ ЛЕОНИДОВИЧ,Костромская область,Костромской одномандатный избирательный округ,"51 год, заместитель директора ООО «САНДЕЗ-ЭКО44».",,,
109,ПАНОВА ЕЛЕНА ВАЛЕРЬЕВНА,Курганская область,Курганский одномандатный избирательный округ,"56 лет, председатель Курганского «Яблока», инструктор регионального отделения партии.",,,
111,НОВИКОВ АЛЕКСАНДР ПАВЛОВИЧ,Курская область,Сеймский одномандатный избирательный округ,"21 год, выпускник Курского государственного университета, руководитель гуманитарного проекта «Всем Миром».",,,
112,КИСЕЛЁВ ИЛЬЯ ЮРЬЕВИЧ,Ленинградская область,Всеволожский одномандатный избирательный округ,"34 года, заместитель председателя Санкт-Петербургского «ЯБЛОКА».",,,
113,РАЗИНА ВИКТОРИЯ ЮРЬЕВНА,Ленинградская область,Гатчинский одномандатный избирательный округ,"32 года, юрист, помощник депутата Законодательного Собрания Ольги Штанниковой («Яблоко»).",,,
114,КОСТИК АНТОН ВЛАДИМИРОВИЧ,Ленинградская область,Волховский одномандатный избирательный округ,"36 лет, адвокат Санкт-Петербургской объединенной коллегии адвокатов.",,,
115,КУБРИНА АННА БОРИСОВНА,Липецкая область,Липецкий одномандатный избирательный округ,"46 лет, самозанятая.",,,
116,НАУМОВ АЛЕКСАНДР ВЛАДИМИРОВИЧ,Липецкая область,Левобережный одномандатный избирательный округ,"27 лет, самозанятый.",,,
119,ЗАВЬЯЛОВА МАЙЯ ВЛАДИМИРОВНА,Московская область,Дмитровский одномандатный избирательный округ,"49 лет, специалист по корпоративным коммуникациям, член Контрольно-ревизионной комиссии Московского «Яблока».",,,
121,САДИЛОВ АНТОН МИХАЙЛОВИЧ,Московская область,Красногорский одномандатный избирательный округ,"25 лет, политолог.",,,
122,МУРАВЬЕВ АЛЕКСАНДР СЕРГЕЕВИЧ,Московская область,Люберецкий одномандатный избирательный округ,"38 лет, гражданский активист, заместитель председателя Московского областного отделения «Яблока».",,https://t.me/MuravevAleksandr,
123,ВЛАДИМИРОВ МАКСИМ ПАВЛОВИЧ,Московская область,Мытищинский одномандатный избирательный округ,"30 лет, политолог.",,,
124,ВАСЬКИН ЮРИЙ АФАНАСЬЕВИЧ,Московская область,Одинцовский одномандатный избирательный округ,"47 лет, самозанятый, член Бюро Московского областного отделения «Яблока».",,,
125,СМИРНОВА СВЕТЛАНА АЛЕКСАНДРОВНА,Московская область,Орехово-Зуевский одномандатный избирательный округ,"67 лет, кандидат биологических наук, гражданский активист, заместитель председателя Московского областного отделения «Яблока».",,,
126,ФИЛИППОВ АЛЕКСЕЙ НИКОЛАЕВИЧ,Московская область,Подольский одномандатный избирательный округ,"41 год, бортпроводник ОАО «Авиакомпания ""Сибирь""», член партии.",,,
127,КРЫЖОВ СЕРГЕЙ БОРИСОВИЧ,Московская область,Сергиево-Посадский одномандатный избирательный округ,"71 год, кандидат технических наук, президент Межрегионального фонда «Объединение уполномоченных по правам человека», председатель Московского областного отделения партии «Яблоко».",https://www.yabloko.ru/content/kryzhov_sergej_borisovich,,
128,ГУСЕВ ИВАН ЛЬВОВИЧ,Московская область,Серпуховский одномандатный избирательный округ,"50 лет, предприниматель.",,,
129,МЯКИНИН ИЛЬЯ ДМИТРИЕВИЧ,Московская область,Щелковский одномандатный избирательный округ,"28 лет, самозанятый",,,
130,ХОМЕЧКО ИГОРЬ ИВАНОВИЧ,Мурманская область,Мурманский одномандатный избирательный округ,"49 лет, учитель истории, член партии.",,,
133,СМИРНОВ ДМИТРИЙ ВАЛЕНТИНОВИЧ,Нижегородская область,Автозаводский одномандатный избирательный округ,"61 год, светооператор в Центре культуры «Рекорд», член партии.",,,
134,ГОРБУНОВ СЕРГЕЙ АЛЕКСАНДРОВИЧ,Нижегородская область,Канавинский одномандатный избирательный округ,"63 года, глава личного подсобного хозяйства, председатель инициативной группы по созданию территориального общественного самоуправления.",,,
136,ШАЛЯКИН ВИКТОР ВЛАДИМИРОВИЧ,Новгородская область,Новгородский одномандатный избирательный округ,"66 лет, ветеран Вооруженных Сил, майор авиации в запасе, член Бюро Новгородского «Яблока».",,,
137,ЧУБЫКИНА НАТАЛЬЯ ЛЕОНИДОВНА,Новосибирская область,Новосибирский одномандатный избирательный округ,"71 год, биолог, эколог, член Бюро Новосибирского «Яблока».",,,
138,КОПЫЛОВ ПЕТР АНДРЕЕВИЧ,Новосибирская область,Центральный одномандатный избирательный округ,"39 лет, директор ООО «Опытно-конструкторская студия инновационного дизайна ""Гек и Чук""», заместитель председателя Новосибирского «Яблока».",,,
139,ШАБАНОВ ДМИТРИЙ ЮРЬЕВИЧ,Новосибирская область,Искитимский одномандатный избирательный округ,"37 лет, индивидуальный предприниматель, председатель Новосибирского «Яблока».",,,
140,ПИВОВАРОВА ЕЛЕНА НИКОЛАЕВНА,Новосибирская область,Барабинский одномандатный избирательный округ,"62 года, кандидат биологических наук, гражданский активист, член регсовета Новосибирского «Яблока».",,,
141,ИВАШОВА АНАСТАСИЯ АЛЕКСЕЕВНА,Омская область,Омский одномандатный избирательный округ,"43 года, предприниматель, член партии.",,,
142,ШНЕЙДЕР ТАТЬЯНА НИКОЛАЕВНА,Омская область,Москаленский одномандатный избирательный округ,"43 года, советник председателя партии «Яблоко», председатель Омского «Яблока».",https://www.yabloko.ru/node/47237,,
143,ЮДИН КОНСТАНТИН АЛЕКСЕЕВИЧ,Омская область,Любинский одномандатный избирательный округ,"51 год, директор ООО «Карат», заместитель председателя Омского «Яблока».",,,
150,ВАСИЛЬЕВ ЕВГЕНИЙ ГЕННАДЬЕВИЧ,Псковская область,Псковский одномандатный избирательный округ,"59 лет, капитан первого ранга запаса, проходивший службу в Главном штабе Военно-морского флота, депутат Собрания Гдовского окружного Собрания.",,,
152,КОШЕВОЙ СЕРГЕЙ ВИКТОРОВИЧ,Ростовская область,Батайский одномандатный избирательный округ,"24 года, гражданский активист, член партии.",,,
154,ФОМИН ВИТАЛИЙ АНАТОЛЬЕВИЧ,Ростовская область,Неклиновский одномандатный избирательный округ,"63 года, начальник участка в управляющей компании, член партии.",,,
155,БОНДАРЕНКО ДАНИИЛ АЛЕКСАНДРОВИЧ,Ростовская область,Белокалитвинский одномандатный избирательный округ,"21 год, студент юридического факультета ЮРИУ (филиала) РАНХиГС при Президенте РФ, председатель местного отделения партии «Яблоко» в Ростове-на-Дону.",,,
156,ЧЕРЕМИСОВ ИЛЬЯ ЕВГЕНЬЕВИЧ,Ростовская область,Усть-Донецкий одномандатный избирательный округ,"23 года, гражданский активист, председатель местного отделения партии «Яблоко» в городе Шахты Ростовской области.",,,
164,ЛЮБЦОВ СЕРГЕЙ АНАТОЛЬЕВИЧ,Саратовская область,Саратовский одномандатный избирательный округ,"36 лет, IT-специалист в сфере информационных и юридических услуг, член партии «Яблоко».",,,
165,ГАЕВОЙ АЛЕКСАНДР ВАСИЛЬЕВИЧ,Саратовская область,Балаковский одномандатный избирательный округ,"26 лет, техник-программист.",,https://t.me/gaevoi,
166,РУМЯНЦЕВ КИРИЛЛ АНТОНОВИЧ,Саратовская область,Балашовский одномандатный избирательный округ,"25 лет, юрист, заместитель председателя Саратовского «Яблока».",,https://t.me/KirillRumyantsev,
167,ЧЕРНОВА КСЕНИЯ ЮРЬЕВНА,Саратовская область,Энгельсский одномандатный избирательный округ,"40 лет, депутат Собрания Марксовского муниципального района Саратовской области.",,,
168,РЕПИНА ИРИНА ГЕННАДЬЕВНА,Сахалинская область,Сахалинский одномандатный избирательный округ,"60 лет, директор Благотворительного фонда помощи бездомным животным «Право на жизнь».",,,
169,КИСЕЛЁВ КОНСТАНТИН ВИКТОРОВИЧ,Свердловская область,Свердловский одномандатный избирательный округ,"62 года, кандидат философских наук, член Союза журналистов России, депутат Екатеринбургской городской Думы.",,,
171,ЧУПРИЯНОВ ВИКТОР НИКОЛАЕВИЧ,Свердловская область,Березовский одномандатный избирательный округ,"73 года, ведущий юрисконсульт (ИП).",,,
172,ГОРШКАЛЕВА ТАТЬЯНА РУДОЛЬФОВНА,Свердловская область,Нижнетагильский одномандатный избирательный округ,"69 лет, гражданский активист, член Федерального совета партии, член Бюро Свердловского «Яблока».",,,
173,СЕВОСТЬЯНОВ ВЛАДИМИР ВИКТОРОВИЧ,Свердловская область,Асбестовский одномандатный избирательный округ,"53 года, специалист по связям с общественностью, депутат Думы городского округа Сухой Лог, председатель местного отделения партии.",,,
174,ЛОПАРЕВА ОЛЬГА ВЛАДИМИРОВНА,Свердловская область,Первоуральский одномандатный избирательный округ,"57 лет, юрист, директор сети зоомагазинов.",,,
175,СОБЯНИН ВЛАДИМИР ИВАНОВИЧ,Свердловская область,Серовский одномандатный избирательный округ,"67 лет, юрист, член Регионального совета Свердловского «Яблока».",,,
176,ДОЛЖИКОВА ЛАРИСА СЕРГЕЕВНА,Смоленская область,Смоленский одномандатный избирательный округ,"45 лет, учредитель ООО «Союз-Лайт», директор ООО «Бытовик», председатель Смоленского отделения МОД «Мы любим Россию», зампредседателя регионального отделения Российского Союза Молодежи, заместитель председателя Смоленского «Яблока».",,,
177,ЗЕНКИНА ЯНА АЛЕКСАНДРОВНА,Тамбовская область,Тамбовский одномандатный избирательный округ,"32 года, контролёр качества в ООО «Металл сервис», председатель Тамбовского «Яблока».",,,
179,ТИМЧЕНКО ДАНИИЛ СЕРГЕЕВИЧ,Тверская область,Заволжский одномандатный избирательный округ,"21 год, студент Тверского государственного медицинского университета.",,,
180,ЕРЕМИН ВАСИЛИЙ ВАСИЛЬЕВИЧ,Томская область,Томский одномандатный избирательный округ,"77 лет, кандидат экономических наук, член федерального Бюро партии, заместитель председателя Томского «Яблока».",https://www.yabloko.ru/node/22847,,
181,ПАРАМОНОВ АНТОН АЛЕКСАНДРОВИЧ,Тульская область,Тульский одномандатный избирательный округ,"30 лет, индивидуальный предприниматель, председатель Тульского «Яблока».",,,
182,КАЛИНИЧЕВА КИРА РОМАНОВНА,Тульская область,Новомосковский одномандатный избирательный округ,"33 года, бухгалтер ООО «Гринлайн», член партии.",,,
185,ГОНДАРЕНКО ДМИТРИЙ МИХАЙЛОВИЧ,Ульяновская область,Ульяновский одномандатный избирательный округ,"54 года, председатель Ульяновского «Яблока».",,,
186,СКРИПКИН ЕВГЕНИЙ ВИКТОРОВИЧ,Ульяновская область,Радищевский одномандатный избирательный округ,"47 лет, методист МБУДО «Спортивная школа ""Фаворит""», заместитель председателя Ульяновского «Яблока».",,,
188,"ЩЕРБАКОВ ЯРОСЛАВ ЕВГЕНЬЕВИЧ,",Челябинская область,Челябинский одномандатный избирательный округ,"38 лет, юрист, генеральный директор ООО «Теплогазмонтаж», член Федерального Бюро партии, председатель Челябинского «Яблока».",https://www.yabloko.ru/node/42561,,
189,ТАЛЕВЛИН АНДРЕЙ АЛЕКСАНДРОВИЧ,Челябинская область,Металлургический одномандатный избирательный округ,"53 года, кандидат юридических наук, доцент Челябинского государственного университета, заместитель председателя Челябинского «Яблока».",https://www.yabloko.ru/content/talevlin_andrej_aleksandrovich_0,,
190,БОЯРСКАЯ ОКСАНА ВЛАДИМИРОВНА,Челябинская область,Коркинский одномандатный избирательный округ,"43 года, логопед МБУ социального обслуживания «Социально-реабилитационный центр для детей и подростков с ограниченными возможностями ""Здоровье""».",,,
191,ФАРЫМА СЕРГЕЙ НИКОЛАЕВИЧ,Челябинская область,Магнитогорский одномандатный избирательный округ,"41 год, инженер-программист потребительского жилищно-строительного кооператива № 36 «Металлург-11», председатель правления ООО «Объединенная Сервисная Компания».",,,
192,КОМКОВА ВАЛЕНТИНА ВАСИЛЬЕВНА,Челябинская область,Златоустовский одномандатный избирательный округ,"64 года, юрист, председатель Миасского «Яблока».",,,
194,БАЛАБАЕВ СЕРГЕЙ АНАТОЛЬЕВИЧ,Ярославская область,Ярославский одномандатный избирательный округ,"54 года, юрист, член партии.",,,
196,ЕВТЕЕВ АНДРЕЙ АЛЕКСЕЕВИЧ,Город Москва,Кунцевский одномандатный избирательный округ,"43 года, ведущий научный сотрудник НИИ и Музея антропологии МГУ.",,https://t.me/vassilyprohodtsev,
197,ГРИШИН ГРИГОРИЙ АЛЕКСАНДРОВИЧ,Город Москва,Ленинградский одномандатный избирательный округ,"45 лет, кандидат филологических наук, преподаватель русского языка и литературы, режиссер-документалист, заместитель председателя Московского областного «Яблока».",https://www.yabloko.ru/node/41181,https://t.me/grishin_tg,
198,СНЕГОВСКИЙ АРТЕМ ЮРЬЕВИЧ,Город Москва,Люблинский одномандатный избирательный округ,"22 года, студент Высшей школы экономики.",,,
199,ЛЕРМАНТ ПОЛИНА ВАЛЕРЬЕВНА,Город Москва,Медведковский одномандатный избирательный округ,"24 года, социолог, помощник председателя партии «Яблоко».",,,
200,ЧУНИХИН ГЕРМАН АЛЬБЕРТОВИЧ,Город Москва,Нагатинский одномандатный избирательный округ,"29 лет, системный инженер АО «Лаборатория Касперского».",,,
201,КОВАЛЁВ СЕМЁН ЮРЬЕВИЧ,Город Москва,Новомосковский одномандатный избирательный округ,"30 лет, инженер ПТО АО «Специализированный застройщик ""Ваш дом""», член Бюро Смоленского «Яблока».",,,
202,ПАРХОМЕНКО СЕРГЕЙ ДМИТРИЕВИЧ,Город Москва,Орехово-Борисовский одномандатный избирательный округ,"26 лет, адвокат.",,https://t.me/parhomenko202,
203,МАКАРОВ МАКСИМ ВЛАДИСЛАВОВИЧ,Город Москва,Перовский одномандатный избирательный округ,"26 лет, ведущий финансовый менеджер ООО «Райнстон Трейдинг».",,https://t.me/TAKMakarov,
204,ШАТУНОВСКАЯ-БЮРНО АННА ГЕННАДИЕВНА,Город Москва,Преображенский одномандатный избирательный округ,"52 года, юрист, член партии.",,https://t.me/AnnaShatunovskayaBurno,
205,БИКТУГАНОВ ЕВГЕНИЙ ВЯЧЕСЛАВОВИЧ,Город Москва,Тушинский одномандатный избирательный округ,"25 лет, юрист.",,https://t.me/evg_biktuganov,
206,КОГАН-ЯСНЫЙ ВИКТОР ВАЛЕНТИНОВИЧ,Город Москва,Ховринский одномандатный избирательный округ,"66 лет, кандидат химических наук, советник председателя Федерального политкомитета партии, руководитель общественной организации «Региональная гражданская инициатива - право на жизнь и гражданское достоинство», член Бюро Московского «Яблока».",https://www.yabloko.ru/content/koganyasnyi_viktor_valentinovich,,
207,МИТРОХИН СЕРГЕЙ СЕРГЕЕВИЧ,Город Москва,Центральный одномандатный избирательный округ,"63 года, Кандидат политических наук, депутат Мосгордумы двух созывов, депутатов Госдумы трёх созывов, педагог.",https://www.yabloko.ru/content/mitrokhin_sergei_sergeevich,https://t.me/ssmitrohin,
208,СМИРНОВ АЛЕКСЕЙ ОЛЕГОВИЧ,Город Москва,Черемушкинский одномандатный избирательный округ,"75 лет, инженер, правозащитник, диссидент, член партии.",,,
209,ЖИЛИН ИГОРЬ НИКОЛАЕВИЧ,Город Москва,Чертановский одномандатный избирательный округ,"63 года, главный специалист АО «Российские космические системы», член партии.",,https://t.me/vydumannyj_mir_bez_vojny,
210,РАМАЗАНОВА МАРИЖАТ КУРБАНОВНА,Город Москва,Солнцевский одномандатный избирательный округ,"28 лет, международник-регионовед, помощник председателя партии «Яблоко», член партии.",,,
211,КИЗЮКОВА АНАСТАСИЯ СЕРГЕЕВНА,Город Санкт-Петербург,Восточный одномандатный избирательный округ,"29 лет, руководитель группы по работе с социальными сетями редакции «Лайфхакер».",,,
212,ЗУДИН ДАВИД СЕРГЕЕВИЧ,Город Санкт-Петербург,Западный одномандатный избирательный округ,"24 года, юрист, член партии.",,,
215,ЮРКЕВИЧ ОЛЬГА ИЗЯСЛАВОВНА,Город Санкт-Петербург,Северо-Западный одномандатный избирательный округ,"63 года, кандидат медицинских наук, врач – анестезиолог-реаниматолог Национального медицинского исследовательского центра имени В.А. Алмазова, член партии.",,,
216,АНИСИМОВ ДМИТРИЙ ИГОРЕВИЧ,Город Санкт-Петербург,Центральный одномандатный избирательный округ,"34 года, кандидат политических наук, депутат, заместитель руководителя фракции «Яблоко» в Законодательном собрании Санкт-Петербурга, заместитель председателя Петербургского «Яблока».",https://www.yabloko.ru/node/47235,,
217,ИСАКОВ ВИТАЛИЙ МИХАЙЛОВИЧ,Город Санкт-Петербург,Юго-Восточный одномандатный избирательный округ,"31 год, юрист, защитник Льва Шлосберга в суде.",,,
218,ХОРЗОВ ДМИТРИЙ ВИКТОРОВИЧ,Город Санкт-Петербург,Южный одномандатный избирательный округ,"43 года, руководитель отдела логистики и закупок в «Инженерно-технологических решениях», член Бюро Санкт-Петербургского «Яблока».",,,
